Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,Material,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ ?,Module [TRUE/FALSE],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Stability. (H)
06/02/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, C60 , BCP ,Blank,Ag,0.08,pin,FALSE,1.6,137.1428571
11/06/2019 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, C60 , LiF ,Blank,Al,0.1,pin,FALSE,1.6,50
29/08/2018,SLG ,ITO ,Blank,Blank,Blank, Perovskite , PCBM-60; PCBM-70, Ca ,Blank,Blank,Al,0.1,pin,FALSE,1.6,144
18/12/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", ZrO2-mp ," TiO2-(c, mp )", Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.09,nip-mp-carbon,FALSE,1.6,13.71428571
18/12/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", ZrO2-mp ," TiO2-(c, mp )", Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.09,nip-mp-carbon,FALSE,1.6,13.71428571
30/11/2016 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, LiF ,Blank,Blank,Al,0.08,pin,FALSE,1.6,14.28571429
05/08/2020,SLG ,ITO ," NiO; NiO-(c, nanowalls) ", PTAA ,Blank, Perovskite , PCBM-60; PCBM-70, Mg ,Blank,Blank,Ag,0.16,pin,FALSE,1.59,114.2857143
06/09/2017 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ", C60; C60-SAM,Blank, Perovskite , PPyra-XA , MoOx; MoO3 ,Blank,Blank,Ag,0.102,nip,FALSE,1.5,205.7142857
23/03/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Ag,0.09,nip,FALSE,1.6,34.28571429
05/09/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Ag,0.09,nip,FALSE,1.6,274.2857143
17/01/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Ag,0.09,nip,FALSE,1.6,85.71428571
27/02/2017 00:00,SLG ,FTO , ZnO,Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Al,0.1,nip,FALSE,1.6,13.71428571
29/09/2016 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, PDINO ,Blank,Blank,Al,0.05,pin,FALSE,1.6,54.28571429
23/11/2018 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite , P3HT , Spiro-MeOTAD ,Blank,Blank,Au,0.1,nip,FALSE,1.6,160
24/04/2015,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ", HOOC-Ph-SH , Perovskite , Pentafluorobenzenethiol , Spiro-MeOTAD ,Blank,Blank,Au,0.12,nip-mp,FALSE,1.6,71.42857143
26/09/2019,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70," ZnO; ZnO-(c, np)",Blank,Blank,Al,0.1,pin,FALSE,1.6,8.571428571
01/09/2018 00:00,SLG ,ITO , PTAA ,Blank,Blank, Perovskite , PCBM-60; PCBM-70," ZnO; ZnO-(c, np)", AZO ,Blank,Ni,0.561,pin,FALSE,1.62,48
17/07/2017 00:00,SLG ,ITO , TAPC ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.04,pin,FALSE,1.6,226.6094421
19/10/2018 00:00,SLG ,FTO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Al,0.09,pin,FALSE,1.6,137.733142
29/08/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.6,4.057971014
04/05/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.6,494.1176471
29/12/2014 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.6,56.47058824
26/02/2018 00:00,SLG ,FTO , NiMgLiO; NiMgliO-c,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.09,pin,FALSE,1.6,59.70149254
24/04/2019 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.06,pin,FALSE,1.6,71.64179104
15/06/2017 00:00,SLG ,ITO , Graphene oxide ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.0225,pin,FALSE,1.6,597.0149254
30/11/2016 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.084,pin,FALSE,1.6,21.81818182
30/12/2016 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite , CuMePc ,Blank,Blank,Blank,Au,0.11,nip,FALSE,1.6,72.72727273
11/05/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.52,75.75757576
20/01/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", TiO2-nanofibers ,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.081,nip,FALSE,1.6,87.27272727
04/06/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, TiO2-c ,Blank,Blank,Al,0.1,nip,FALSE,1.6,90.90909091
27/09/2019 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.12,nip,FALSE,1.6,220.1834862
24/04/2019 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , Fullerene-2a ,Blank,Blank,Blank,Ag,0.06,pin,FALSE,1.6,73.84615385
18/11/2014 00:00,SLG ,ITO , ZnO-np ,Blank,Blank, Perovskite , P3HT ,Blank,Blank,Blank,Ag,0.072,nip,FALSE,1.6,110.7692308
01/11/2019 00:00,SLG ,ITO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.1,pin,FALSE,1.6,92.30769231
17/12/2015 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.0725,pin,FALSE,1.6,73.84615385
18/09/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.1,nip,FALSE,1.56,73.84615385
25/06/2015 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.07,nip,FALSE,1.6,51.69230769
23/08/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , Mix-DMEC70 ,Blank,Blank,Blank,Al,0.06,pin,FALSE,1.6,73.84615385
08/07/2019 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.125,nip,FALSE,1.56,80
23/08/2016,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.55,73.84615385
13/10/2017,SLG ,ITO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.108,nip,FALSE,1.57,46.15384615
13/10/2017,SLG ,ITO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.108,nip,FALSE,1.57,46.15384615
26/06/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,2.769230769
26/06/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,2.769230769
25/07/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.6,147.6923077
05/11/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.12,nip-mp,FALSE,1.6,1.538461538
19/09/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.125,nip-mp,FALSE,1.6,335.3846154
20/12/2018,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.55,51.69230769
19/10/2016 00:00,SLG ,FTO , VOx ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.04,pin,FALSE,1.6,73.84615385
12/12/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, C60 , BCP ,Blank,Ag,0.1,pin,FALSE,1.56,221.5384615
15/09/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , Graphene; Graphene oxide; rGO, Spiro-MeOTAD ,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,4.923076923
29/10/2018 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.13,nip,FALSE,1.6,81.86046512
09/05/2016,SLG ,ITO , ZnO,Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.1,nip,FALSE,1.54,223.255814
06/08/2016 00:00,SLG ,ITO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.112,pin,FALSE,1.6,225
27/07/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.6,225
12/04/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.48,270
22/11/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.6,150
28/02/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.6,37.5
25/09/2019 00:00,SLG ,ITO ," NiO; NiO-(c, nanowalls) ", PTAA ,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.6,312.5
14/07/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.59,3.125
29/12/2016 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, Bphen ,Blank,Blank,Ag,0.0725,pin,FALSE,1.6,62.5
30/11/2019 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, Bphen ,Blank,Blank,Ag,0.0625,pin,FALSE,1.6,150
01/08/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ", ZrO2-mp , Perovskite , TOPO ,Blank,Blank,Blank, Carbon,0.08,nip-mp,FALSE,1.6,15
28/08/2016 00:00,SLG ,ITO , PEDOT:PSS , PS; PSS-Na ,Blank, Perovskite , PCBM-60; PCBM-70, PEI; PEIE,Blank,Blank,Al,0.09,pin,FALSE,1.6,125
29/10/2018 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.13,nip,FALSE,1.6,82.82352941
02/07/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.6,158.4786054
24/04/2019 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , Fullerene-2b ,Blank,Blank,Blank,Ag,0.06,pin,FALSE,1.6,76.19047619
20/07/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.06,nip-mp,FALSE,1.5,7.619047619
20/04/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,15.87301587
29/01/2016,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, PFN-P2 ,Blank,Blank,Ag,0.18,pin,FALSE,1.6,16
06/08/2018,SLG ,ITO ," P3CT; P3CT - (K, N, Na)",Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Al,0.1,pin,FALSE,1.61,54.19354839
12/05/2019 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.53,117.0731707
26/04/2017,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.15,nip-mp,FALSE,1.6,195.1219512
09/03/2019,SLG ,ITO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.25,pin,FALSE,1.55,960
09/05/2019,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.06,nip,FALSE,1.6,408
06/12/2020,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.1,nip,FALSE,1.63,720
18/03/2019,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.12,nip,FALSE,1.614,1400
08/05/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite , COPV1 ,Blank,Blank,Blank,Au,0.04,nip,FALSE,1.6,48
02/07/2019,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , Cu2O ,Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.5,720
28/10/2016,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite , DIQ-C12 ,Blank,Blank,Blank,Au,0.07,nip,FALSE,1.6,24
27/09/2019,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.1,nip,FALSE,1.7,288
22/04/2020,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.09,nip,FALSE,1.91,840
07/05/2017,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.49,nip-mp,FALSE,1.25,500
29/01/2020,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ", TiN , Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.61,500
13/07/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", Graphene ,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.105,nip,FALSE,1.6,168
08/09/2017,SLG ,ITO , PCBM-60 ,Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.04,nip,FALSE,1.6,300
20/09/2019,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.05,nip,FALSE,1.625,8
23/08/2016,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.55,240
04/04/2019,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,700
04/04/2019,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,700
04/02/2020,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ", SnO2-c , Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.16,nip-mp,FALSE,1.55,800
03/02/2017,SLG ,ITO , PBT ,Blank,Blank, Perovskite , C60 , BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.53,1440
07/06/2020,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.5,576
12/11/2018,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.09408,pin,FALSE,1.65,216
12/11/2018,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.09408,pin,FALSE,1.66,216
31/07/2019,SLG ,ITO ," P3CT; P3CT - (K, N, Na)",Blank,Blank, Perovskite , PCBM-60; PCBM-70, Bphen ,Blank,Blank,Ag,0.09,pin,FALSE,1.6,200
29/08/2018,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, Ca ,Blank,Blank,Al,0.1,pin,FALSE,1.6,504
19/09/2018,SLG ,FTO ," TiO2-(c, np, nw) ", PCBA ,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.61,8000
25/07/2018,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.09,nip,FALSE,1.6,734.6938776
11/08/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , P3TAA-co-P3HT ,Blank,Blank,Blank,Ag,0.1,nip-mp,FALSE,1.6,252.6315789
11/06/2017 00:00,SLG ,ITO , ZnO,Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.09,nip,FALSE,1.6,176.8421053
04/06/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.09,nip-mp,FALSE,1.6,1368.421053
12/06/2017 00:00,SLG ,ITO , ZnO, WPF-6-oxy-F ,Blank, Perovskite , mDPA-DBTP ,Blank,Blank,Blank,Au,0.0707,nip,FALSE,1.6,833.6842105
29/10/2014 00:00,SLG ,ITO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite , P3HT ,Blank,Blank,Blank,Au,0.08,nip,FALSE,1.56,353.6842105
05/11/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , P3HT ,Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,1.052631579
08/01/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.096,nip,FALSE,1.6,353.6842105
28/01/2019 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.075,nip,FALSE,1.59,1231.578947
02/08/2019 00:00,SLG ,ITO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.096,nip,FALSE,1.35,126.3157895
11/08/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.48,1157.894737
30/04/2015 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.6,684.2105263
13/08/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.625,1684.210526
17/04/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip-mp,FALSE,1.6,151.5789474
24/08/2018,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.125,nip-mp,FALSE,1.5,555.7894737
25/09/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , TTPA-OMeTPA ,Blank,Blank,Blank,Au,0.085,nip-mp,FALSE,1.6,526.3157895
25/03/2019 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , YT3 ,Blank,Blank,Blank,Au,0.09,nip-mp,FALSE,1.6,631.5789474
17/03/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, AZO ; AZO-np,SnO2-c ,Blank,Ag,0.0177,pin,FALSE,1.6,4736.842105
28/12/2018 00:00,SLG ,ITO , PTAA ,Blank,Blank, Perovskite , C60 , B4PyMPM ,Blank,Blank,Ag,0.09,pin,FALSE,1.6,757.8947368
22/05/2018 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.09,pin,FALSE,1.6,526.3157895
24/06/2017 00:00,SLG ,ITO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.6,526.3157895
20/05/2019,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, BCP ,Blank,Blank,Ag,0.1,pin,FALSE,1.5,378.9473684
28/11/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.09,nip-mp-carbon,FALSE,1.6,736.8421053
07/07/2020,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.12,nip-mp-carbon,FALSE,1.61,328.4210526
08/11/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ", ZrO2-mp ," TiO2-(c, mp )", Perovskite ,Blank,Blank,Blank,Blank, Carbon,0.1,nip-mp-carbon,FALSE,1.6,2829.473684
01/09/2019 00:00,SLG ,FTO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite , CsSnBr3-QDs ,Blank,Blank,Blank, Carbon,0.1,nip-mp-carbon,FALSE,2.3,252.6315789
09/08/2017 00:00,SLG ,FTO ," NiO; NiO-(c, nanowalls) ",Blank,Blank, Perovskite , CSCNT@Al2O3-c ,Blank,Blank,Blank, CSCNT@SnO2,0.1,pin,FALSE,1.6,621.0526316
19/12/2017 00:00,SLG ,ITO ," TiO2-(c, np, nw) ", PCBM-60 ,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Au,0.0002,nip,FALSE,1.6,757.8947368
09/01/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", MoOx; MoO3 ,Blank,Blank,Al,0.1,nip,FALSE,1.6,50.52631579
12/04/2018 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite , PCPD2FBT:BCF , PEDOT:PSS ,Blank,Blank,ITO ,1,nip,FALSE,1.47,1052.631579
25/07/2018,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite , CuSCN ,Blank,Blank,Blank, Carbon,0.09,nip,FALSE,1.6,765.9574468
