Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,Material,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ ?,Module [TRUE/FALSE],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Stability. (H)
28/11/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.1,pin,FALSE,1.6,136.3636364
21/03/2013 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ,PTA;  PTAA ,Blank,Blank,Blank,Au,0.096,nip-mp,FALSE,1.604,127.1976401
28/01/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.15,nip-mp,FALSE,1.498,31.42857143
02/03/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.049,nip,FALSE,1.6,90.01771562
11/04/2015 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite , Titanylphthalocyanine ,Blank,Blank,Blank,Au,0.05,nip-mp,FALSE,1.6,662.1428571
06/08/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70,Blank,Blank,Blank,Ag,0.5,pin,FALSE,1.6,13.42105263
20/12/2017 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , BCP; PCBM-60 ,Blank,Blank,Blank,Ag,0.1,pin,FALSE,1.6,101.0526316
23/11/2016 00:00,SLG ,FTO , ZnO,Blank,Blank, Perovskite , P3HT ,Blank,Blank,Blank,Ag,0.045,nip,FALSE,1.6,151.5789474
15/01/2020 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Ag,0.1,nip-mp,FALSE,1.6,8.421052632
14/02/2019 00:00,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.57,75.78947368
14/08/2019,SLG ,ITO ,"SnO2;  SnO2-(c, np, QDs) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.1,nip,FALSE,1.6,21.05263158
21/11/2016 00:00,SLG ,ITO ," TiO2-(c, np, nw) ",Blank,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.09,nip,FALSE,1.57,353.6842105
10/10/2017 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.11,nip-mp,FALSE,1.6,75.78947368
12/06/2017 00:00,SLG ,ITO , ZnO, WPF-6-oxy-F ,Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ",Blank,Blank,Blank,Au,0.0707,nip,FALSE,1.6,166.7368421
02/05/2019 00:00,SLG ,ITO ," P3CT; P3CT - (K, N, Na)",Blank,Blank, Perovskite , PCBM-60; PCBM-70, C60 , BCP ,Blank,Cu,0.09,pin,FALSE,1.6,21.05263158
03/05/2015 00:00,SLG ,ITO , PEDOT:PSS ,Blank,Blank, Perovskite , PCBM-60; PCBM-70, LiF ,Blank,Blank,Al,0.04,pin,FALSE,1.6,161.6842105
30/11/2016 00:00,SLG ,FTO ," TiO2-(c, np, nw) "," TiO2-(c, np, nw, mp) ",Blank, Perovskite ," Spiro-(MeTAD, MeOTAD) ", Mo ,Blank,Blank,Ag,0.07,nip-mp,FALSE,1.6,606.3157895
